No.,Company Name,Stock Price,Market Cap,Symbol,Industry
1910,"V2X, Inc.",68.32,2.13B,VVX,Aerospace & Defense
1911,Vermilion Energy Inc.,13.91,2.12B,VET,Oil & Gas Exploration & Production
1912,First Busey Corporation,24.62,2.12B,BUSE,Banks - Regional
1913,"DXP Enterprises, Inc.",136.64,2.12B,DXPE,Industrial Distribution
1914,"HeartFlow, Inc.",24.69,2.12B,HTFL,Health Information Services
1915,"Infleqtion, Inc.",9.85,2.12B,INFQ,Software - Infrastructure
1916,"Acadia Healthcare Company, Inc.",22.91,2.11B,ACHC,Medical Care Facilities
1917,"Alarm.com Holdings, Inc.",42.49,2.11B,ALRM,Software - Application
1918,Verra Mobility Corporation,13.88,2.10B,VRRM,Information Technology Services
1919,Park Hotels & Resorts Inc.,10.43,2.10B,PK,REIT - Hotel & Motel
1920,"Sarepta Therapeutics, Inc.",19.97,2.10B,SRPT,Biotechnology
1921,Weibo Corporation,8.58,2.10B,WB,Internet Content & Information
1922,Hilltop Holdings Inc.,35.2,2.09B,HTH,Financial Conglomerates
1923,Sezzle Inc.,61.58,2.08B,SEZL,Credit Services
1924,Huron Consulting Group Inc.,122.64,2.08B,HURN,Consulting Services
1925,Driven Brands Holdings Inc.,12.6,2.07B,DRVN,Auto & Truck Dealerships
1926,"Syndax Pharmaceuticals, Inc.",23.49,2.07B,SNDX,Biotechnology
1927,ArcBest Corporation,92.47,2.06B,ARCB,Trucking
1928,Capri Holdings Limited,17.27,2.06B,CPRI,Luxury Goods
1929,Pattern Group Inc.,11.61,2.05B,PTRN,Software - Application
1930,The Bank of N.T. Butterfield & Son Limited,51.32,2.05B,NTB,Banks - Diversified
1931,"Extreme Networks, Inc.",15.26,2.05B,EXTR,Communication Equipment
1932,"Universal Technical Institute, Inc.",37.19,2.05B,UTI,Education & Training Services
1933,"USA Rare Earth, Inc.",15.42,2.05B,USAR,Other Industrial Metals & Mining
1934,CompaÃ±Ã­a CervecerÃ­as Unidas S.A.,11.05,2.04B,CCU,Beverages - Brewers
1935,"Insight Enterprises, Inc.",65.82,2.04B,NSIT,Electronics & Computer Distribution
1936,"The Baldwin Insurance Group, Inc.",21.09,2.04B,BWIN,Insurance Brokers
1937,Expro Group Holdings N.V.,17.91,2.04B,XPRO,Oil & Gas Equipment & Services
1938,"SPS Commerce, Inc.",54.49,2.04B,SPSC,Software - Application
1939,Banner Corporation,59.74,2.04B,BANR,Banks - Regional
1940,"AvePoint, Inc.",9.44,2.03B,AVPT,Software - Infrastructure
1941,Alamo Group Inc.,167.0,2.02B,ALG,Farm & Heavy Construction Machinery
1942,Danaos Corporation,110.74,2.02B,DAC,Marine Shipping
1943,Select Medical Holdings Corporation,16.29,2.02B,SEM,Medical Care Facilities
1944,Nayax Ltd.,54.03,2.02B,NYAX,Software - Infrastructure
1945,Bitdeer Technologies Group,8.37,2.02B,BTDR,Software - Application
1946,EverCommerce Inc.,11.36,2.02B,EVCM,Software - Infrastructure
1947,"Celldex Therapeutics, Inc.",30.3,2.02B,CLDX,Biotechnology
1948,"Grupo AeromÃ©xico, S.A.B. de C.V.",13.82,2.02B,AERO,Airlines
1949,"Babcock & Wilcox Enterprises, Inc.",14.86,2.01B,BW,Specialty Industrial Machinery
1950,DXC Technology Company,11.81,2.00B,DXC,Information Technology Services
1951,Costamare Inc.,16.59,2.00B,CMRE,Marine Shipping
1952,"National Vision Holdings, Inc.",25.14,2.00B,EYE,Specialty Retail
1953,Atkore Inc.,59.13,2.00B,ATKR,Electrical Equipment & Parts
1954,Zai Lab Limited,18.00,1.99B,ZLAB,Biotechnology
1955,"GRAIL, Inc.",48.49,1.99B,GRAL,Diagnostics & Research
1956,Fresh Del Monte Produce Inc.,41.91,1.99B,FDP,Farm Products
1957,"Intapp, Inc.",24.68,1.98B,INTA,Software - Application
1958,"Benchmark Electronics, Inc.",55.61,1.98B,BHE,Electronic Components
1959,"Agilysys, Inc.",70.37,1.98B,AGYS,Software - Application
1960,Autohome Inc.,16.92,1.98B,ATHM,Internet Content & Information
1961,ePlus inc.,74.86,1.98B,PLUS,Software - Application
1962,IMAX Corporation,36.55,1.97B,IMAX,Entertainment
1963,Nektar Therapeutics,68.66,1.97B,NKTR,Biotechnology
1964,FMC Corporation,15.76,1.97B,FMC,Agricultural Inputs
1965,"WisdomTree, Inc.",13.90,1.97B,WT,Asset Management
1966,"Global Net Lease, Inc.",9.17,1.96B,GNL,REIT - Diversified
1967,Kodiak Sciences Inc.,37.00,1.96B,KOD,Biotechnology
1968,Enterprise Financial Services Corp,53.31,1.96B,EFSC,Banks - Regional
1969,"HCI Group, Inc.",150.49,1.96B,HCI,Insurance - Property & Casualty
1970,"Tyra Biosciences, Inc.",36.29,1.95B,TYRA,Biotechnology
1971,Globant S.A.,44.52,1.95B,GLOB,Information Technology Services
1972,"Mineralys Therapeutics, Inc.",23.68,1.95B,MLYS,Biotechnology
1973,"Xometry, Inc.",37.64,1.95B,XMTR,Industrial Distribution
1974,Rogers Corporation,109.33,1.95B,ROG,Electronic Components
1975,First Advantage Corporation,11.15,1.94B,FA,Specialty Business Services
1976,"Stoke Therapeutics, Inc.",32.85,1.94B,STOK,Biotechnology
1977,Merchants Bancorp,42.27,1.94B,MBIN,Banks - Regional
1978,Uniti Group LLC,7.88,1.94B,UNIT,REIT - Specialty
1979,Cadeler A/S,22.12,1.94B,CDLR,Engineering & Construction
1980,"John Wiley & Sons, Inc.",37.62,1.93B,WLY,Publishing
1981,Yatsen Holding Limited,2.890,1.92B,YSG,Household & Personal Products
1982,BlackBerry Limited,3.160,1.92B,BB,Software - Infrastructure
1983,"Pathward Financial, Inc.",87.97,1.91B,CASH,Banks - Regional
1984,Navitas Semiconductor Corporation,8.28,1.91B,NVTS,Semiconductors
1985,Adaptive Biotechnologies Corporation,12.41,1.91B,ADPT,Biotechnology
1986,Galapagos NV,28.93,1.91B,GLPG,Biotechnology
1987,Navios Maritime Partners L.P.,65.26,1.90B,NMM,Marine Shipping
1988,Tecnoglass Inc.,42.48,1.90B,TGLS,Building Materials
1989,"Tenable Holdings, Inc.",16.54,1.90B,TENB,Software - Infrastructure
1990,"Hamilton Insurance Group, Ltd.",28.61,1.90B,HG,Insurance - Reinsurance
1991,"CoreCivic, Inc.",19.44,1.90B,CXW,Security & Protection Services
1992,Getty Realty Corp.,31.75,1.90B,GTY,REIT - Retail
1993,DiamondRock Hospitality Company,9.32,1.90B,DRH,REIT - Hotel & Motel
1994,Aurinia Pharmaceuticals Inc.,14.27,1.90B,AUPH,Biotechnology
1995,Neogen Corporation,8.70,1.89B,NEOG,Medical Devices
1996,"Peloton Interactive, Inc.",4.430,1.88B,PTON,Leisure
1997,"Stock Yards Bancorp, Inc.",63.91,1.88B,SYBT,Banks - Regional
1998,"ARMOUR Residential REIT, Inc.",15.73,1.88B,ARR,REIT - Mortgage
1999,Central Garden & Pet Company,32.49,1.88B,CENTA,Packaged Foods
2000,"Fluence Energy, Inc.",14.15,1.87B,FLNC,Utilities - Renewable
2001,"Skyward Specialty Insurance Group, Inc.",42.13,1.87B,SKWD,Insurance - Property & Casualty
2002,Ultragenyx Pharmaceutical Inc.,19.38,1.87B,RARE,Biotechnology
2003,Acadian Asset Management Inc.,52.22,1.87B,AAMI,Asset Management
2004,Bausch Health Companies Inc.,5.02,1.86B,BHC,Drug Manufacturers - Specialty & Generic
2005,Borr Drilling Limited,6.05,1.86B,BORR,Oil & Gas Drilling
2006,Kaiser Aluminum Corporation,114.56,1.86B,KALU,Aluminum
2007,"Strategic Education, Inc.",81.46,1.85B,STRA,Education & Training Services
2008,Mesoblast Limited,14.36,1.85B,MESO,Biotechnology
2009,"Banco Latinoamericano de Comercio Exterior, S. A.",49.64,1.85B,BLX,Banks - Regional
2010,The Goodyear Tire & Rubber Company,6.44,1.84B,GT,Auto Parts
2011,"PENN Entertainment, Inc.",13.77,1.84B,PENN,Resorts & Casinos
2012,Patria Investments Limited,11.58,1.83B,PAX,Asset Management
2013,"Stellar Bancorp, Inc.",35.84,1.82B,STEL,Banks - Regional
2014,Yuanbao Inc.,16.99,1.82B,YB,Software - Application
2015,"BellRing Brands, Inc.",15.35,1.82B,BRBR,Packaged Foods
2016,Hotel101 Global Holdings Corp.,7.76,1.82B,HBNB,Real Estate Services
2017,"Northwest Bancshares, Inc.",12.42,1.82B,NWBI,Banks - Regional
2018,"Vertex, Inc.",11.34,1.81B,VERX,Software - Application
2019,Fidelis Insurance Holdings Limited,18.75,1.81B,FIHL,Insurance - Diversified
2020,NETSTREIT Corp.,18.65,1.81B,NTST,REIT - Retail
2021,Ducommun Incorporated,120.78,1.81B,DCO,Aerospace & Defense
2022,"LTC Properties, Inc.",37.24,1.81B,LTC,REIT - Healthcare Facilities
2023,"Semrush Holdings, Inc.",11.93,1.80B,SEMR,Software - Application
2024,"TriNet Group, Inc.",38.01,1.80B,TNET,Staffing & Employment Services
2025,Stewart Information Services Corporation,59.06,1.80B,STC,Insurance - Property & Casualty
2026,"Columbia Financial, Inc.",17.23,1.79B,CLBK,Banks - Regional
2027,Cosan S.A.,3.860,1.79B,CSAN,Oil & Gas Refining & Marketing
2028,ProPetro Holding Corp.,14.69,1.79B,PUMP,Oil & Gas Equipment & Services
2029,Innospec Inc.,72.20,1.79B,IOSP,Specialty Chemicals
2030,Digi International Inc.,47.47,1.79B,DGII,Communication Equipment
2031,Zymeworks Inc.,24.18,1.78B,ZYME,Biotechnology
2032,"Definium Therapeutics, Inc.",17.88,1.78B,DFTX,Biotechnology
2033,"Flowers Foods, Inc.",8.40,1.78B,FLO,Packaged Foods
2034,"Veris Residential, Inc.",18.93,1.78B,VRE,REIT - Residential
2035,Addus HomeCare Corporation,95.19,1.77B,ADUS,Medical Care Facilities
2036,Americas Gold and Silver Corporation,5.50,1.77B,USAS,Other Industrial Metals & Mining
2037,Enerpac Tool Group Corp.,34.34,1.77B,EPAC,Specialty Industrial Machinery
2038,Okeanis Eco Tankers Corp.,49.90,1.77B,ECO,Marine Shipping
2039,TMC the metals company Inc.,4.270,1.77B,TMC,Other Industrial Metals & Mining
2040,First Commonwealth Financial Corporation,17.26,1.76B,FCF,Banks - Regional
2041,VisionSys AI Inc.,0.760,1.76B,VSA,Education & Training Services
2042,Coty Inc.,2.000,1.76B,COTY,Household & Personal Products
2043,Kemper Corporation,29.91,1.76B,KMPR,Insurance - Property & Casualty
2044,Cimpress plc,72.18,1.75B,CMPR,Specialty Business Services
2045,ZoomInfo Technologies Inc.,5.72,1.75B,GTM,Software - Application
2046,Blue Bird Corporation,55.11,1.74B,BLBD,Farm & Heavy Construction Machinery
2047,"Innovex International, Inc.",25.13,1.74B,INVX,Oil & Gas Equipment & Services
2048,"Blackbaud, Inc.",37.70,1.73B,BLKB,Software - Application
2049,OFG Bancorp,40.12,1.73B,OFG,Banks - Regional
2050,"Agios Pharmaceuticals, Inc.",29.43,1.72B,AGIO,Biotechnology
2051,"Relay Therapeutics, Inc.",9.60,1.72B,RLAY,Biotechnology
2052,Appian Corporation,23.18,1.71B,APPN,Software - Infrastructure
2053,City Holding Company,119.45,1.71B,CHCO,Banks - Regional
2054,"Werner Enterprises, Inc.",28.60,1.71B,WERN,Trucking
2055,Ivanhoe Electric Inc.,10.87,1.71B,IE,Copper
2056,Horace Mann Educators Corporation,42.30,1.71B,HMN,Insurance - Property & Casualty
2057,National Bank Holdings Corporation,37.94,1.71B,NBHC,Banks - Regional
2058,"Spectrum Brands Holdings, Inc.",73.60,1.71B,SPB,Household & Personal Products
2059,"Marqeta, Inc.",3.990,1.70B,MQ,Software - Infrastructure
2060,"Pediatrix Medical Group, Inc.",20.50,1.70B,MD,Medical Care Facilities
2061,Arcos Dorados Holdings Inc.,8.07,1.70B,ARCO,Restaurants
2062,"Sunstone Hotel Investors, Inc.",8.95,1.70B,SHO,REIT - Hotel & Motel
2063,"Qfin Holdings, Inc.",12.77,1.69B,QFIN,Credit Services
2064,Six Flags Entertainment Corporation,16.60,1.69B,FUN,Leisure
2065,"Ingles Markets, Incorporated",89.00,1.69B,IMKTA,Grocery Stores
2066,"Artivion, Inc.",35.29,1.69B,AORT,Medical Devices
2067,"Weis Markets, Inc.",68.26,1.69B,WMK,Grocery Stores
2068,"EVERTEC, Inc.",27.28,1.68B,EVTC,Software - Infrastructure
2069,"Monarch Casino & Resort, Inc.",93.98,1.68B,MCRI,Resorts & Casinos
2070,"Thermon Group Holdings, Inc.",51.16,1.68B,THR,Specialty Industrial Machinery
2071,"Innoviva, Inc.",22.66,1.68B,INVA,Biotechnology
2072,GeneDx Holdings Corp.,57.09,1.67B,WGS,Diagnostics & Research
2073,Liberty Latin America Ltd.,8.33,1.67B,LILA,Telecom Services
2074,"Capricor Therapeutics, Inc.",28.90,1.66B,CAPR,Biotechnology
2075,"SmartStop Self Storage REIT, Inc.",30.01,1.66B,SMA,REIT - Industrial
2076,1st Source Corporation,68.19,1.66B,SRCE,Banks - Regional
2077,"Sixth Street Specialty Lending, Inc.",17.50,1.66B,TSLX,Asset Management
2078,"Alphatec Holdings, Inc.",10.93,1.65B,ATEC,Medical Devices
2079,"AnaptysBio, Inc.",57.40,1.65B,ANAB,Biotechnology
2080,Natural Resource Partners L.P.,124.50,1.65B,NRP,Thermal Coal
2081,"Eos Energy Enterprises, Inc.",4.860,1.65B,EOSE,Electrical Equipment & Parts
2082,Payoneer Global Inc.,4.780,1.65B,PAYO,Software - Infrastructure
2083,"Ocular Therapeutix, Inc.",7.55,1.64B,OCUL,Biotechnology
2084,ReNew Energy Global Plc,4.510,1.64B,RNW,Utilities - Renewable
2085,Atlas Energy Solutions Inc.,13.22,1.64B,AESI,Oil & Gas Equipment & Services
2086,"Select Water Solutions, Inc.",15.61,1.64B,WTTR,Oil & Gas Equipment & Services
2087,"Turning Point Brands, Inc.",85.37,1.63B,TPB,Tobacco
2088,FLEX LNG Ltd.,30.19,1.63B,FLNG,Oil & Gas Midstream
2089,"ANI Pharmaceuticals, Inc.",72.82,1.63B,ANIP,Drug Manufacturers - Specialty & Generic
2090,Pitney Bowes Inc.,10.87,1.63B,PBI,Integrated Freight & Logistics
2091,Concentrix Corporation,26.42,1.63B,CNXC,Information Technology Services
2092,Diversified Healthcare Trust,6.72,1.63B,DHC,REIT - Healthcare Facilities
2093,"Sionna Therapeutics, Inc.",36.09,1.62B,SION,Biotechnology
2094,"LiveRamp Holdings, Inc.",25.72,1.62B,RAMP,Software - Infrastructure
2095,"RPC, Inc.",7.32,1.62B,RES,Oil & Gas Equipment & Services
2096,Establishment Labs Holdings Inc.,55.31,1.62B,ESTA,Medical Devices
2097,"Alkami Technology, Inc.",15.25,1.62B,ALKT,Software - Application
2098,The Gorman-Rupp Company,61.42,1.62B,GRC,Specialty Industrial Machinery
2099,"Century Communities, Inc.",55.47,1.61B,CCS,Real Estate - Development
2100,"nCino, Inc.",14.01,1.61B,NCNO,Software - Application
2101,Hillman Solutions Corp.,8.17,1.61B,HLMN,Tools & Accessories
2102,American Superconductor Corporation,33.72,1.61B,AMSC,Specialty Industrial Machinery
2103,"Kimbell Royalty Partners, LP",14.71,1.60B,KRP,Oil & Gas Exploration & Production
2104,Companhia SiderÃºrgica Nacional,1.210,1.60B,SID,Steel
2105,ASGN Incorporated,37.56,1.60B,ASGN,Information Technology Services
2106,"A10 Networks, Inc.",22.34,1.60B,ATEN,Software - Infrastructure
2107,Navient Corporation,8.07,1.60B,NAVI,Credit Services
2108,LendingClub Corporation,13.87,1.60B,LC,Banks - Regional
2109,Braskem S.A.,3.520,1.59B,BAK,Chemicals
2110,Adient plc,20.25,1.59B,ADNT,Auto Parts
2111,Sylvamo Corporation,40.13,1.59B,SLVM,Paper & Paper Products
2112,"Grifols, S.A.",7.49,1.58B,GRFS,Drug Manufacturers - General
2113,"The Greenbrier Companies, Inc.",51.11,1.58B,GBX,Railroads
2114,Lufax Holding Ltd,1.820,1.58B,LU,Credit Services
2115,REX American Resources Corporation,47.73,1.57B,REX,Chemicals
2116,"Ziff Davis, Inc.",41.64,1.57B,ZD,Advertising Agencies
2117,"Ichor Holdings, Ltd.",45.23,1.57B,ICHR,Semiconductor Equipment & Materials
2118,Redwire Corporation,8.16,1.57B,RDW,Aerospace & Defense
2119,"Revolve Group, Inc.",21.92,1.57B,RVLV,Internet Retail
2120,JetBlue Airways Corporation,4.220,1.56B,JBLU,Airlines
2121,"O-I Glass, Inc.",10.25,1.56B,OI,Packaging & Containers
2122,"EZCORP, Inc.",25.21,1.56B,EZPW,Credit Services
2123,"Soleno Therapeutics, Inc.",30.05,1.55B,SLNO,Biotechnology
2124,"Recursion Pharmaceuticals, Inc.",2.940,1.55B,RXRX,Biotechnology
2125,Federal Agricultural Mortgage Corporation,119.00,1.55B,AGM.A,Credit Services
2126,"German American Bancorp, Inc.",41.19,1.54B,GABC,Banks - Regional
2127,Stagwell Inc.,6.08,1.54B,STGW,Advertising Agencies
2128,"Damora Therapeutics, Inc.",25.50,1.54B,DMRA,Biotechnology
2129,Federal Agricultural Mortgage Corporation,141.62,1.54B,AGM,Credit Services
2130,"Douglas Emmett, Inc.",9.18,1.54B,DEI,REIT - Office
2131,"Red Cat Holdings, Inc.",12.68,1.54B,RCAT,Aerospace & Defense
2132,"Harmony Biosciences Holdings, Inc.",26.54,1.54B,HRMY,Biotechnology
2133,"Sonos, Inc.",12.70,1.54B,SONO,Consumer Electronics
2134,Enviri Corporation,18.83,1.53B,NVRI,Waste Management
2135,SFL Corporation Ltd.,10.59,1.53B,SFL,Marine Shipping
2136,GigaCloud Technology Inc.,41.59,1.52B,GCT,Software - Infrastructure
2137,AdaptHealth Corp.,11.20,1.52B,AHCO,Medical Devices
2138,Organon & Co.,5.84,1.52B,OGN,Drug Manufacturers - General
2139,"Nurix Therapeutics, Inc.",14.76,1.52B,NRIX,Biotechnology
2140,J&J Snack Foods Corp.,79.84,1.52B,JJSF,Packaged Foods
2141,"Kennedy-Wilson Holdings, Inc.",10.93,1.51B,KW,Real Estate Services
2142,Clarivate Plc,2.360,1.51B,CLVT,Information Technology Services
2143,"Maze Therapeutics, Inc.",30.38,1.51B,MAZE,Biotechnology
2144,Global Partners LP,44.37,1.51B,GLP,Oil & Gas Midstream
2145,"DoubleVerify Holdings, Inc.",9.31,1.51B,DV,Advertising Agencies
2146,"Sonida Senior Living, Inc.",31.65,1.50B,SNDA,Medical Care Facilities
2147,Pharvaris N.V.,27.40,1.50B,PHVS,Biotechnology
2148,"Amylyx Pharmaceuticals, Inc.",13.55,1.50B,AMLX,Drug Manufacturers - Specialty & Generic
2149,"S&T Bancorp, Inc.",40.94,1.50B,STBA,Banks - Regional
2150,Quantum Computing Inc.,6.66,1.50B,QUBT,Computer Hardware
2151,TriCo Bancshares,46.51,1.50B,TCBK,Banks - Regional
2152,"BigBear.ai Holdings, Inc.",3.140,1.49B,BBAI,Information Technology Services
2153,NGL Energy Partners LP,12.06,1.49B,NGL,Oil & Gas Midstream
2154,Immunocore Holdings plc,29.44,1.49B,IMCR,Biotechnology
2155,Winmark Corporation,417.55,1.49B,WINA,Specialty Retail
2156,Herbalife Ltd.,14.41,1.49B,HLF,Packaged Foods
2157,Vericel Corporation,29.34,1.49B,VCEL,Biotechnology
2158,"Omnicell, Inc.",32.75,1.49B,OMCL,Health Information Services
2159,"Helix Energy Solutions Group, Inc.",10.10,1.49B,HLX,Oil & Gas Equipment & Services
2160,"Surgery Partners, Inc.",11.49,1.49B,SGRY,Medical Care Facilities
2161,PROCEPT BioRobotics Corporation,26.36,1.49B,PRCT,Medical Devices
2162,"Live Oak Bancshares, Inc.",32.09,1.48B,LOB,Banks - Regional
2163,Bank First Corporation,131.93,1.48B,BFC,Banks - Regional
2164,Nuvation Bio Inc.,4.250,1.48B,NUVB,Biotechnology
2165,"Encore Capital Group, Inc.",68.87,1.47B,ECPG,Credit Services
2166,"MaxLinear, Inc.",17.00,1.47B,MXL,Semiconductors
2167,"Asana, Inc.",6.17,1.47B,ASAN,Software - Application
2168,Karooooo Ltd.,47.53,1.47B,KARO,Software - Application
2169,"Walker & Dunlop, Inc.",43.05,1.47B,WD,Mortgage Finance
2170,Allegiant Travel Company,79.40,1.46B,ALGT,Airlines
2171,"Custom Truck One Source, Inc.",6.46,1.46B,CTOS,Rental & Leasing Services
2172,Nanobiotix S.A.,30.24,1.46B,NBTX,Biotechnology
2173,"Sprinklr, Inc.",5.88,1.46B,CXM,Software - Application
2174,"Intellia Therapeutics, Inc.",12.37,1.46B,NTLA,Biotechnology
2175,"UFP Technologies, Inc.",189.45,1.46B,UFPT,Medical Devices
2176,Oculis Holding AG,24.69,1.46B,OCS,Biotechnology
2177,"Generate Biomedicines, Inc.",11.44,1.46B,GENB,Biotechnology
2178,"Apollo Commercial Real Estate Finance, Inc.",10.43,1.46B,ARI,REIT - Mortgage
2179,"Trevi Therapeutics, Inc.",11.33,1.45B,TRVI,Biotechnology
2180,"TIC Solutions, Inc.",6.57,1.45B,TIC,Specialty Business Services
2181,Yelp Inc.,24.36,1.45B,YELP,Internet Content & Information
2182,"CVR Partners, LP",137.00,1.45B,UAN,Agricultural Inputs
2183,Tronox Holdings plc,9.12,1.45B,TROX,Chemicals
2184,"Iovance Biotherapeutics, Inc.",3.510,1.45B,IOVA,Biotechnology
2185,United Parks & Resorts Inc.,29.73,1.45B,PRKS,Leisure
2186,"Dime Community Bancshares, Inc.",32.88,1.44B,DCOM,Banks - Regional
2187,Liberty Latin America Ltd.,8.44,1.44B,LILAK,Telecom Services
2188,"PC Connection, Inc.",57.14,1.44B,CNXN,Electronics & Computer Distribution
2189,Ellington Financial Inc.,11.55,1.44B,EFC,REIT - Mortgage
2190,"AtriCure, Inc.",28.88,1.44B,ATRC,Medical Instruments & Supplies
2191,Albany International Corp.,50.83,1.44B,AIN,Textile Manufacturing
2192,"Arlo Technologies, Inc.",13.46,1.44B,ARLO,Building Products & Equipment
2193,Central Securities Corporation,48.67,1.44B,CET,Asset Management
2194,"Hertz Global Holdings, Inc.",4.600,1.44B,HTZ,Rental & Leasing Services
2195,"Tandem Diabetes Care, Inc.",21.00,1.43B,TNDM,Medical Devices
2196,"Innovative Industrial Properties, Inc.",50.95,1.43B,IIPR,REIT - Industrial
2197,"Interface, Inc.",24.73,1.43B,TILE,"Furnishings, Fixtures & Appliances"
2198,"Inspire Medical Systems, Inc.",50.13,1.43B,INSP,Medical Devices
2199,Lakeland Financial Corporation,56.51,1.43B,LKFN,Banks - Regional
2200,"Worthington Steel, Inc.",28.10,1.43B,WS,Steel
2201,Tuya Inc.,2.330,1.43B,TUYA,Software - Infrastructure
2202,Dorian LPG Ltd.,33.35,1.43B,LPG,Oil & Gas Midstream
2203,Newell Brands Inc.,3.400,1.43B,NWL,Household & Personal Products
2204,Ecovyst Inc.,12.84,1.42B,ECVT,Specialty Chemicals
2205,"Arbor Realty Trust, Inc.",7.35,1.42B,ABR,REIT - Mortgage
2206,Upwork Inc.,10.87,1.42B,UPWK,Internet Content & Information
2207,Daqo New Energy Corp.,21.22,1.42B,DQ,Semiconductor Equipment & Materials
2208,"Ameresco, Inc.",26.75,1.41B,AMRC,Engineering & Construction
2209,"Progyny, Inc.",17.27,1.41B,PGNY,Healthcare Plans
2210,"Himax Technologies, Inc.",8.09,1.41B,HIMX,Semiconductors
2211,Adecoagro S.A.,14.05,1.41B,AGRO,Farm Products
2212,"Cohu, Inc.",29.98,1.41B,COHU,Semiconductor Equipment & Materials
2213,"Byline Bancorp, Inc.",30.81,1.40B,BY,Banks - Regional
2214,Dole plc,14.73,1.40B,DOLE,Farm Products
2215,"Hope Bancorp, Inc.",10.92,1.40B,HOPE,Banks - Regional
2216,Kosmos Energy Ltd.,2.910,1.40B,KOS,Oil & Gas Exploration & Production
2217,China Yuchai International Limited,37.30,1.40B,CYD,Auto Manufacturers
2218,"Pulse Biosciences, Inc.",20.57,1.40B,PLSE,Medical Instruments & Supplies
2219,Kohl's Corporation,12.46,1.40B,KSS,Department Stores
2220,"QCR Holdings, Inc.",83.42,1.40B,QCRH,Banks - Regional
2221,Pebblebrook Hotel Trust,12.26,1.39B,PEB,REIT - Hotel & Motel
2222,Nomad Foods Limited,9.74,1.39B,NOMD,Packaged Foods
2223,Diversified Energy Company,18.16,1.38B,DEC,Oil & Gas Integrated
2224,Flywire Corporation,11.36,1.38B,FLYW,Software - Infrastructure
2225,"Novavax, Inc.",8.45,1.38B,NVAX,Biotechnology
2226,"Power Solutions International, Inc.",59.64,1.37B,PSIX,Specialty Industrial Machinery
