No.,Company Name,Stock Price,Market Cap,Symbol,Industry,Sector
272,Wheaton Precious Metals Corp.,124.70,56.51B,WPM,Gold,Materials
273,Manulife Financial Corporation,33.63,56.48B,MFC,Insurance - Life,Financials
274,Ferrari N.V.,317.40,56.27B,RACE,Auto Manufacturers,Consumer Discretionary
275,Truist Financial Corporation,44.53,55.63B,TFC,Banks - Regional,Financials
276,"Corteva, Inc.",81.99,55.14B,CTVA,Agricultural Inputs,Materials
277,Aflac Incorporated,106.41,54.95B,AFL,Insurance - Life,Financials
278,"AutoZone, Inc.","3,316.71",54.65B,AZO,Auto Parts,Consumer Discretionary
279,Medline Inc.,41.36,54.33B,MDLN,Medical Instruments & Supplies,Healthcare
280,Target Corporation,119.84,54.27B,TGT,Discount Stores,Consumer Staples
281,Deutsche Bank Aktiengesellschaft,28.37,54.13B,DB,Banks - Regional,Financials
282,Targa Resources Corp.,250.23,53.79B,TRGP,Oil & Gas Midstream,Energy
283,"Dominion Energy, Inc.",60.88,53.50B,D,Utilities - Regulated Electric,Utilities
284,Arthur J. Gallagher & Co.,207.10,53.25B,AJG,Insurance Brokers,Financials
285,Snowflake Inc.,152.80,52.82B,SNOW,Software - Application,Technology
286,The Allstate Corporation,202.71,52.73B,ALL,Insurance - Property & Casualty,Financials
287,Vistra Corp.,155.48,52.39B,VST,Utilities - Independent Power Producers,Utilities
288,Infosys Limited,12.83,52.02B,INFY,Information Technology Services,Technology
289,"Monolithic Power Systems, Inc.","1,053.01",51.72B,MPWR,Semiconductors,Technology
290,Fastenal Company,44.95,51.61B,FAST,Industrial Distribution,Industrials
291,Electronic Arts Inc.,202.01,50.55B,EA,Electronic Gaming & Multimedia,Communication Services
292,Cenovus Energy Inc.,26.82,50.27B,CVE,Oil & Gas Integrated,Energy
293,Lumentum Holdings Inc.,702.73,50.17B,LITE,Communication Equipment,Technology
294,"W.W. Grainger, Inc.","1,057.07",50.08B,GWW,Industrial Distribution,Industrials
295,Entergy Corporation,109.88,49.77B,ETR,Utilities - Regulated Electric,Utilities
296,Exelon Corporation,48.32,49.43B,EXC,Utilities - Regulated Electric,Utilities
297,"Cardinal Health, Inc.",206.58,48.61B,CAH,Medical Distribution,Healthcare
298,"Autodesk, Inc.",229.84,48.50B,ADSK,Software - Application,Technology
299,NXP Semiconductors N.V.,191.66,48.43B,NXPI,Semiconductors,Technology
300,"Comfort Systems USA, Inc.","1,366.77",48.08B,FIX,Engineering & Construction,Industrials
301,"AMETEK, Inc.",209.24,47.91B,AME,Specialty Industrial Machinery,Industrials
302,"Keysight Technologies, Inc.",279.06,47.86B,KEYS,Scientific & Technical Instruments,Technology
303,Zoetis Inc.,113.35,47.85B,ZTS,Drug Manufacturers - Specialty & Generic,Healthcare
304,Ubiquiti Inc.,779.92,47.20B,UI,Communication Equipment,Technology
